Seq_ID	Template	Template_coverage	Repr_ID	Time	Tree	Matrix
005	Escherichia_coli_SE15_DNA_NC_013654_1	93.84	None	2023-03-07 09:54:17	Escherichia_coli_SE15_DNA_NC_013654_1_pw_ml_1678182835.newick	Escherichia_coli_SE15_DNA_NC_013654_1_pw_1678182835.mat
008	Escherichia_coli_SE15_DNA_NC_013654_1	92.98	None	2023-03-07 09:54:17	Escherichia_coli_SE15_DNA_NC_013654_1_pw_ml_1678182835.newick	Escherichia_coli_SE15_DNA_NC_013654_1_pw_1678182835.mat
011	Escherichia_coli_SE15_DNA_NC_013654_1	93.52	None	2023-03-07 09:54:17	Escherichia_coli_SE15_DNA_NC_013654_1_pw_ml_1678182835.newick	Escherichia_coli_SE15_DNA_NC_013654_1_pw_1678182835.mat
036	Escherichia_coli_SE15_DNA_NC_013654_1	93.81	None	2023-03-07 09:54:17	Escherichia_coli_SE15_DNA_NC_013654_1_pw_ml_1678182835.newick	Escherichia_coli_SE15_DNA_NC_013654_1_pw_1678182835.mat
038	Escherichia_coli_SE15_DNA_NC_013654_1	93.47	None	2023-03-07 09:54:17	Escherichia_coli_SE15_DNA_NC_013654_1_pw_ml_1678182835.newick	Escherichia_coli_SE15_DNA_NC_013654_1_pw_1678182835.mat
049	Escherichia_coli_SE15_DNA_NC_013654_1	93.69	None	2023-03-07 09:54:17	Escherichia_coli_SE15_DNA_NC_013654_1_pw_ml_1678182835.newick	Escherichia_coli_SE15_DNA_NC_013654_1_pw_1678182835.mat
089	Escherichia_coli_SE15_DNA_NC_013654_1	93.9	None	2023-03-07 09:54:17	Escherichia_coli_SE15_DNA_NC_013654_1_pw_ml_1678182835.newick	Escherichia_coli_SE15_DNA_NC_013654_1_pw_1678182835.mat
098	Escherichia_coli_SE15_DNA_NC_013654_1	93.18	None	2023-03-07 09:54:17	Escherichia_coli_SE15_DNA_NC_013654_1_pw_ml_1678182835.newick	Escherichia_coli_SE15_DNA_NC_013654_1_pw_1678182835.mat
110	Escherichia_coli_SE15_DNA_NC_013654_1	93.31	None	2023-03-07 09:54:17	Escherichia_coli_SE15_DNA_NC_013654_1_pw_ml_1678182835.newick	Escherichia_coli_SE15_DNA_NC_013654_1_pw_1678182835.mat
125	Escherichia_coli_SE15_DNA_NC_013654_1	93.95	None	2023-03-07 09:54:17	Escherichia_coli_SE15_DNA_NC_013654_1_pw_ml_1678182835.newick	Escherichia_coli_SE15_DNA_NC_013654_1_pw_1678182835.mat
